node,job,start_time,init_time
worker-1,job19-tf-cnn,508,1564754497.22
worker-7,job25-tf-birnn,394,1564754497.22
worker-2,job46-tf-drnn,601,1564754497.22
worker-2,job33-tf-cnn,883,1564754497.22
worker-2,job44-tf-birnn,969,1564754497.22
worker-6,job4-torch-lenet,287,1564754497.22
worker-1,job32-torch-vae,175,1564754497.22
worker-5,job34-tf-cnn,830,1564754497.22
worker-6,job60-torch-lenet,1077,1564754497.22
worker-6,job9-tf-drnn,133,1564754497.22
worker-3,job56-torch-vae,1126,1564754497.22
worker-5,job43-tf-birnn,454,1564754497.22
worker-7,job14-torch-lenet,748,1564754497.22
worker-3,job10-torch-lenet,983,1564754497.22
worker-4,job42-tf-drnn,1057,1564754497.22
worker-2,job30-tf-birnn,1147,1564754497.22
worker-5,job24-tf-cnn,376,1564754497.22
worker-6,job49-torch-lenet,552,1564754497.22
worker-7,job39-tf-birnn,37,1564754497.22
worker-6,job53-torch-vae,574,1564754497.22
worker-3,job26-tf-cnn,922,1564754497.22
worker-5,job45-torch-vae,156,1564754497.22
worker-4,job36-torch-vae,534,1564754497.22
worker-6,job51-tf-cnn,982,1564754497.22
worker-2,job57-torch-vae,99,1564754497.22
worker-6,job54-tf-drnn,456,1564754497.22
worker-4,job22-tf-cnn,23,1564754497.22
worker-3,job48-tf-birnn,666,1564754497.22
worker-7,job58-torch-vae,761,1564754497.22
worker-3,job5-tf-cnn,1047,1564754497.22
worker-1,job55-tf-birnn,550,1564754497.22
worker-2,job12-tf-cnn,1049,1564754497.22
worker-1,job31-torch-vae,894,1564754497.22
worker-2,job59-tf-cnn,50,1564754497.22
worker-6,job8-tf-cnn,1021,1564754497.22
worker-4,job38-tf-birnn,628,1564754497.22
worker-4,job2-tf-drnn,54,1564754497.22
worker-4,job15-tf-drnn,206,1564754497.22
worker-3,job16-torch-vae,147,1564754497.22
worker-6,job28-torch-vae,1085,1564754497.22
worker-5,job23-tf-cnn,135,1564754497.22
worker-6,job50-tf-drnn,778,1564754497.22
worker-2,job40-tf-birnn,1105,1564754497.22
worker-1,job35-torch-vae,79,1564754497.22
worker-2,job17-torch-vae,177,1564754497.22
worker-5,job29-torch-lenet,554,1564754497.22
worker-3,job13-tf-cnn,614,1564754497.22
worker-5,job52-torch-vae,880,1564754497.22
worker-2,job37-tf-drnn,514,1564754497.22
worker-4,job21-tf-drnn,466,1564754497.22
worker-3,job11-torch-vae,240,1564754497.22
worker-2,job47-torch-lenet,963,1564754497.22
worker-4,job3-tf-drnn,897,1564754497.22
worker-5,job18-tf-cnn,673,1564754497.22
worker-3,job7-tf-drnn,532,1564754497.22
worker-5,job41-tf-drnn,893,1564754497.22
worker-1,job6-tf-birnn,651,1564754497.22
worker-4,job1-torch-vae,1179,1564754497.22
worker-2,job27-tf-cnn,736,1564754497.22
worker-7,job20-torch-vae,575,1564754497.22
