job,end_time
job22-tf-cnn,1564754551.97
job59-tf-cnn,1564754579.63
job23-tf-cnn,1564754679.01
job24-tf-cnn,1564754913.85
job2-tf-drnn,1564754972.38
job9-tf-drnn,1564755043.79
job19-tf-cnn,1564755051.97
job4-torch-lenet,1564755062.8
job15-tf-drnn,1564755128.78
job35-torch-vae,1564755151.97
job13-tf-cnn,1564755165.49
job39-tf-birnn,1564755196.57
job57-torch-vae,1564755210.41
job18-tf-cnn,1564755230.84
job27-tf-cnn,1564755291.77
job45-torch-vae,1564755330.01
job16-torch-vae,1564755342.63
job34-tf-cnn,1564755384.59
job54-tf-drnn,1564755415.98
job21-tf-drnn,1564755434.61
job33-tf-cnn,1564755441.43
job17-torch-vae,1564755455.78
job26-tf-cnn,1564755485.44
job49-torch-lenet,1564755489.45
job37-tf-drnn,1564755499.1
job51-tf-cnn,1564755536.05
job7-tf-drnn,1564755552.88
job8-tf-cnn,1564755575.99
job46-tf-drnn,1564755607.4
job25-tf-birnn,1564755607.57
job5-tf-cnn,1564755610.45
job12-tf-cnn,1564755613.54
job43-tf-birnn,1564755675.48
job32-torch-vae,1564755688.82
job29-torch-lenet,1564755731.94
job50-tf-drnn,1564755773.81
job55-tf-birnn,1564755818.32
job38-tf-birnn,1564755858.24
job41-tf-drnn,1564755880.76
job14-torch-lenet,1564755893.58
job6-tf-birnn,1564755916.4
job11-torch-vae,1564755921.67
job48-tf-birnn,1564755921.67
job3-tf-drnn,1564755931.01
job42-tf-drnn,1564756079.8
job52-torch-vae,1564756084.59
job10-torch-lenet,1564756092.87
job60-torch-lenet,1564756096.91
job20-torch-vae,1564756104.75
job53-torch-vae,1564756164.63
job31-torch-vae,1564756173.57
job58-torch-vae,1564756176.07
job36-torch-vae,1564756199.73
job56-torch-vae,1564756324.45
job28-torch-vae,1564756341.17
job44-tf-birnn,1564756349.19
job1-torch-vae,1564756389.18
job40-tf-birnn,1564756487.4
job30-tf-birnn,1564756523.71
job47-torch-lenet,1564756546.33
job44-tf-cnn,1564766258.85
job20-torch-lenet,1564766277.46
job23-torch-vae,1564766319.68
job31-torch-lenet,1564766415.88
job21-tf-cnn,1564766444.73
job7-tf-cnn,1564766444.83
job33-tf-drnn,1564766494.83
job54-torch-lenet,1564766502.94
job41-tf-birnn,1564766558.63
job32-tf-drnn,1564766604.48
job27-tf-birnn,1564766606.63
job59-tf-drnn,1564766609.16
job58-tf-drnn,1564766676.98
job47-tf-drnn,1564766698.37
job26-tf-birnn,1564766886.68
job11-tf-cnn,1564766910.08
job18-torch-lenet,1564766923.53
job28-tf-birnn,1564766961.42
job57-tf-birnn,1564766980.74
job5-tf-birnn,1564766985.16
job30-tf-cnn,1564767011.71
job16-tf-cnn,1564767014.06
job29-tf-birnn,1564767020.0
job13-tf-drnn,1564767022.94
job10-tf-cnn,1564767027.84
job53-tf-drnn,1564767057.99
job48-tf-drnn,1564767091.99
job36-torch-lenet,1564767151.79
job2-tf-birnn,1564767177.15
job51-tf-birnn,1564767193.57
job34-torch-lenet,1564767231.63
job17-tf-drnn,1564767297.18
job46-torch-vae,1564767318.63
job35-tf-birnn,1564767346.46
job52-torch-lenet,1564767427.5
job1-tf-drnn,1564767484.0
job37-tf-birnn,1564767602.82
job43-torch-vae,1564767646.79
job45-torch-lenet,1564767672.61
job15-torch-lenet,1564767694.14
job12-torch-vae,1564767758.41
